フォルダパス,ファイル名,ファイルサイズ (MB),MIME タイプ,作成日,最終更新日,ファイルURL,ファイルID
70_Book / kindle,kindlep_入門講座 2万5000分の1地図の読み方 （Be‐pal books） 平塚 晶人 67p_4093661111.pdf,14.58,application/pdf,2023-12-12 21:56,2014-04-29 21:48,https://drive.google.com/file/d/1qSDC-dRYHySRQC676fEa4MBjQzShvfBW/view?usp=drivesdk,1qSDC-dRYHySRQC676fEa4MBjQzShvfBW
70_Book / kindle,kindlep_光と物質のふしぎな理論 R．P．ファインマン 著 釜江 常好 訳 大貫 昌子 訳 270p_4006001770.pdf,23.57,application/pdf,2023-12-12 21:52,2014-04-29 21:47,https://drive.google.com/file/d/1_PV_cJVjv7RrShmErJeIDvcjjfeMq_HZ/view?usp=drivesdk,1_PV_cJVjv7RrShmErJeIDvcjjfeMq_HZ
70_Book / kindle,kindlep_ヘッセからの手紙-混沌を生き抜くために ヘルマン ヘッセ 461p_4620310867.pdf,52.24,application/pdf,2023-12-12 21:50,2014-04-29 21:40,https://drive.google.com/file/d/1z15raA-1Tz1jcM8wpcr-nJEmR2QGew6V/view?usp=drivesdk,1z15raA-1Tz1jcM8wpcr-nJEmR2QGew6V
70_Book / kindle,kindlep_ファインマンの手紙 リチャード P． ファインマン 712p_4797329157.pdf,69.86,application/pdf,2023-12-12 21:50,2014-04-29 21:29,https://drive.google.com/file/d/1xssyQdjrGzEmTQHZKr0gsoDYwUB0frMs/view?usp=drivesdk,1xssyQdjrGzEmTQHZKr0gsoDYwUB0frMs
70_Book / kindle,kindlep_ファインマンさん最後の冒険 （岩波現代文庫） ラルフ レイトン 357p_4006030975.pdf,35.15,application/pdf,2023-12-12 21:49,2014-04-29 21:23,https://drive.google.com/file/d/1mhS7KunV9iWKK1F9JTifuzkrhae9542c/view?usp=drivesdk,1mhS7KunV9iWKK1F9JTifuzkrhae9542c
70_Book / kindle,"kindlep_ゲーデル,エッシャー,バッハ-あるいは不思議の環 野崎 昭弘 765p_4826900252.pdf",88.98,application/pdf,2023-12-12 21:48,2014-04-29 21:20,https://drive.google.com/file/d/1UYwERG5P8VCnasJjoib08k0SQBqQD-fW/view?usp=drivesdk,1UYwERG5P8VCnasJjoib08k0SQBqQD-fW
70_Book / kindle,kindlep_イン ザ・ミソスープ 村上 龍 238p_4643970995.pdf,26.31,application/pdf,2023-12-12 21:47,2014-04-29 21:11,https://drive.google.com/file/d/1arSRdFwKJcaaqLG4N3xZfzUQYf5OnIcq/view?usp=drivesdk,1arSRdFwKJcaaqLG4N3xZfzUQYf5OnIcq
70_Book / kindle,kindlep_わがままこそ最高の美徳 ヘルマン ヘッセ 280p_4794217315.pdf,28.05,application/pdf,2023-12-12 21:50,2014-04-29 21:09,https://drive.google.com/file/d/1SolZvbiRBIWLIuN0QAM__akYhPdktjMH/view?usp=drivesdk,1SolZvbiRBIWLIuN0QAM__akYhPdktjMH
70_Book / kindle,kindlep_やさしい英語の代数と幾何 開田 精一 123p_4523815321.pdf,9.6,application/pdf,2023-12-12 21:50,2014-04-29 21:06,https://drive.google.com/file/d/1FHanEL9mvWirSTx-7c8JF58P10CweciY/view?usp=drivesdk,1FHanEL9mvWirSTx-7c8JF58P10CweciY
70_Book / kindle,kindlep_ご冗談でしょう、ファインマンさん〈下〉 （岩波現代文庫） リチャード P． ファインマン 327p_4006030061.pdf,33.17,application/pdf,2023-12-12 21:48,2014-04-29 21:05,https://drive.google.com/file/d/1flMQV8HFEw3y8msBcuHvjwTzrgjC-74H/view?usp=drivesdk,1flMQV8HFEw3y8msBcuHvjwTzrgjC-74H
